iata,name,city,state,country,lat,long,dst,tz,utc_offset
0AK,Pilot Station,Pilot Station,AK,USA,61.93396417,-162.8929358,,America/Nome,-8.0
15Z,McCarthy 2,McCarthy,AK,USA,61.43706083,-142.9037372,,America/Anchorage,-8.0
16A,Nunapitchuk,Nunapitchuk,AK,USA,60.90582833,-162.4391158,,America/Nome,-8.0
17Z,Manokotak,Manokotak,AK,USA,58.98896583,-159.0499739,,America/Anchorage,-8.0
19P,Port Protection SPB,Port Protection,AK,USA,56.32880417,-133.6100844,,America/Sitka,-8.0
2A3,Larsen Bay,Larsen Bay,AK,USA,57.53510667,-153.9784169,,America/Anchorage,-8.0
2A9,Kotlik,Kotlik,AK,USA,63.03116111,-163.52992780000002,,America/Nome,-8.0
2AK,Lime Village,Lime Village,AK,USA,61.35848528,-155.4403508,,America/Anchorage,-8.0
2K5,Telida,Telida,AK,USA,63.39387278,-153.2689733,,America/Anchorage,-8.0
2Y3,Yakutat SPB,Yakutat,AK,USA,59.5624775,-139.7410994,,America/Yakutat,-8.0
38A,Shaktoolik,Shaktoolik,AK,USA,64.36263194,-161.20253689999998,,America/Anchorage,-8.0
3Z9,Haines SPB,Haines,AK,USA,59.23495111,-135.4407181,,America/Juneau,-8.0
4A2,Atmautluak,Atmautluak,AK,USA,60.86674556,-162.2731389,,America/Nome,-8.0
4K0,Pedro Bay,Pedro Bay,AK,USA,59.78960972,-154.1238331,,America/Anchorage,-8.0
4K5,Ouzinkie,Ouzinkie,AK,USA,57.92287611,-152.5005111,,America/Anchorage,-8.0
4KA,Tununak,Tununak,AK,USA,60.57559667,-165.27312719999998,,America/Nome,-8.0
4Z4,Holy Cross,Holy Cross,AK,USA,62.18829583,-159.7749503,,America/Anchorage,-8.0
4Z7,Hyder SPB,Hyder,AK,USA,55.90331972,-130.0067031,,America/Vancouver,-7.0
51Z,Minto (New),Minto,AK,USA,65.14370889,-149.3699647,,America/Anchorage,-8.0
5A8,Aleknagik,Aleknagik,AK,USA,59.28256167,-158.6176725,,America/Anchorage,-8.0
5CD,Chandalar Shelf,Chandalar Camp,AK,USA,68.06543944,-149.5797392,,America/Anchorage,-8.0
5HO,Hope,Hope,AK,USA,60.90415028,-149.6238389,,America/Anchorage,-8.0
