iata,name,city,state,country,lat,long,dst,tz,utc_offset
0M0,Dumas Municipal,Dumas,AR,USA,33.8845475,-91.53429111,,America/Chicago,-5.0
1M1,North Little Rock Municipal,No Lit Rock,AR,USA,34.83398056,-92.25792778,,America/Chicago,-5.0
37T,Calico Rock-Izard County,Calico Rock,AR,USA,36.16565278,-92.14523611,,America/Chicago,-5.0
3M9,Warren Municipal,Warren,AR,USA,33.56044333,-92.08538861,,America/Chicago,-5.0
42A,Melbourne Municipal,Melbourne,AR,USA,36.07079222,-91.82914667,,America/Chicago,-5.0
4A5,Marshall-Searcy County,Marshall,AR,USA,35.89893667,-92.65588611,,America/Chicago,-5.0
4M1,Carroll County,Berryville,AR,USA,36.38340333,-93.61685667,,America/Chicago,-5.0
4M3,Carlisle Municipal,Carlisle,AR,USA,34.80823,-91.71205083,,America/Chicago,-5.0
4M4,Clinton Municipal,Clinton,AR,USA,35.59785528,-92.45182472,,America/Chicago,-5.0
4M8,Clarendon Municipal,Clarendon,AR,USA,34.64870694,-91.39457111,,America/Chicago,-5.0
4M9,Corning Municipal,Corning,AR,USA,36.40423139,-90.64792639,,America/Chicago,-5.0
5M1,De Witt Municipal,De Witt,AR,USA,34.2626,-91.30984194,,America/Chicago,-5.0
5M4,Fordyce Municipal,Fordyce,AR,USA,33.84593722,-92.36542861,,America/Chicago,-5.0
6M2,Horseshoe Bend,Horseshoe Bend,AR,USA,36.21673389,-91.75014556,,America/Chicago,-5.0
6M7,Lee County-Marianna,Marianna,AR,USA,34.78027778,-90.81055556,,America/Chicago,-5.0
6M8,Marked Tree Municipal,Marked Tree,AR,USA,35.53341472,-90.40149028,,America/Chicago,-5.0
7M1,McGehee Municipal,McGehee,AR,USA,33.62022111,-91.36484056,,America/Chicago,-5.0
7M3,Bearce,Mount Ida,AR,USA,34.52926056,-93.52713472,,America/Chicago,-5.0
7M4,Osceola Municipal,Osceola,AR,USA,35.69114639,-90.01012028,,America/Chicago,-5.0
7M5,Ozark-Franklin County,Ozark,AR,USA,35.51069583,-93.8393075,,America/Chicago,-5.0
7M7,Piggott Municipal,Piggott,AR,USA,36.37820556,-90.16624167,,America/Chicago,-5.0
9M8,Sheridan-Grant County Regional,Sheridan,AR,USA,34.32842917,-92.35098583,,America/Chicago,-5.0
AGO,Magnolia Municipal,Magnolia,AR,USA,33.22802111,-93.21696861,,America/Chicago,-5.0
ARG,Walnut Ridge Regional,Walnut Ridge,AR,USA,36.12534667,-90.92461944,,America/Chicago,-5.0
ASG,Springdale Municipal,Springdale,AR,USA,36.17641056,-94.11925833,,America/Chicago,-5.0
AWM,West Memphis Municipal,West Memphis,AR,USA,35.13505861,-90.23444639,,America/Chicago,-5.0
BDQ,Vadodara Airport,Morrilton,AR,USA,35.13619528,-92.71349722,N,America/Chicago,-5.0
BPK,Baxter County Regional,Mountain Home,AR,USA,36.36894194,-92.47052806,,America/Chicago,-5.0
BVX,Batesville Regional,Batesville,AR,USA,35.726105,-91.64736083,,America/Chicago,-5.0
CDH,Harrell ,Camden,AR,USA,33.62279917,-92.76339528,,America/Chicago,-5.0
CRT,Crossett Municipal,Crossett,AR,USA,33.17833278,-91.88018806,,America/Chicago,-5.0
CVK,Sharp County Regional,Ash Flat,AR,USA,36.26487139,-91.56264111,,America/Chicago,-5.0
DEQ,J Lynn Helms Sevier County,De Queen,AR,USA,34.04699556,-94.39936556,,America/Chicago,-5.0
ELD,South Arkansas Regional At Goodwin Field,El Dorado,AR,USA,33.2208625,-92.81325167,A,America/Chicago,-5.0
FCY,Forrest City Municipal,Forrest City,AR,USA,34.94199806,-90.77496611,,America/Chicago,-5.0
FLP,Marion County Regional Airport,Flippin,AR,USA,36.29087528,-92.59023417,A,America/Chicago,-5.0
FSM,Fort Smith Regional Airport,Fort Smith,AR,USA,35.33659028,-94.36744111,A,America/Chicago,-5.0
FYV,Drake Field,Fayetteville,AR,USA,36.00509472,-94.17005694,A,America/Chicago,-5.0
H35,Clarksville Municipal,Clarksville,AR,USA,35.47069417,-93.427155,,America/Chicago,-5.0
HBZ,Heber Springs Municipal,Heber Springs,AR,USA,35.51169389,-92.01300944,,America/Chicago,-5.0
HEE,Thompson-Robbins,Helena-West Helena,AR,USA,34.57648972,-90.67588639,,America/Chicago,-5.0
HKA,Blytheville Municipal,Blytheville,AR,USA,35.94040667,-89.83080583,,America/Chicago,-5.0
HOT,Memorial Field,Hot Springs,AR,USA,34.47803389,-93.09620833,A,America/Chicago,-5.0
HRO,Boone County Airport,Harrison,AR,USA,36.26152056,-93.15472889,A,America/Chicago,-5.0
JBR,Jonesboro Municipal Airport,Jonesboro,AR,USA,35.83186111,-90.64616667,A,America/Chicago,-5.0
LIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,AR,USA,34.72939611,-92.22424556,A,America/Chicago,-5.0
LLQ,Monticello Municipal,Monticello,AR,USA,33.6385525,-91.75101833,,America/Chicago,-5.0
M03,Dennis F Cantrell ,Conway,AR,USA,35.08080778,-92.42496167,,America/Chicago,-5.0
M18,Hope Municipal,Hope,AR,USA,33.72008889,-93.65884556,,America/Chicago,-5.0
M19,Newport Municipal,Newport,AR,USA,35.63771778,-91.17637556,,America/Chicago,-5.0
M27,Waldron Municipal,Waldron,AR,USA,34.87509944,-94.10993056,,America/Chicago,-5.0
M32,Lake Village Municipal,Lake Village,AR,USA,33.345977500000004,-91.31569833,,America/Chicago,-5.0
M36,Frank Federer Memorial,Brinkley,AR,USA,34.88000194,-91.1764375,,America/Chicago,-5.0
M39,Mena Intermountain Municipal,Mena,AR,USA,34.54539444,-94.20265278,,America/Chicago,-5.0
M60,Woodruff County,Augusta,AR,USA,35.27175278,-91.27040417,,America/Chicago,-5.0
M65,Wynne Municipal,Wynne,AR,USA,35.23160167,-90.76155111,,America/Chicago,-5.0
M70,Pocahontas Municipal,Pocahontas,AR,USA,36.24551111,-90.95520444,,America/Chicago,-5.0
M73,Almyra Municipal,Almyra,AR,USA,34.41232833,-91.46634722,,America/Chicago,-5.0
M77,Howard County,Nashville,AR,USA,33.99673833,-93.83813583,,America/Chicago,-5.0
