iata,name,city,state,country,lat,long,dst,tz,utc_offset
01J,Hilliard Airpark,Hilliard,FL,USA,30.6880125,-81.90594389,,America/New_York,-4.0
1J0,Tri-County,Bonifay,FL,USA,30.84577778,-85.60138889,,America/Chicago,-5.0
23J,Herlong,Jacksonville,FL,USA,30.27778889,-81.80594722,,America/New_York,-4.0
24J,Suwannee County,Live Oak,FL,USA,30.30105583,-83.02318778,,America/New_York,-4.0
28J,Kay Larkin,Palatka,FL,USA,29.65863889,-81.68855556,,America/New_York,-4.0
2IS,Airglades,Clewiston,FL,USA,26.74200972,-81.04978917,,America/New_York,-4.0
2J9,Quincy Municipal,Quincy,FL,USA,30.59786111,-84.55741667,,America/New_York,-4.0
2R4,Peter Prince ,Milton,FL,USA,30.63762083,-86.99365278,,America/Chicago,-5.0
40J,Perry-Foley,Perry,FL,USA,30.06927778,-83.58058333,,America/New_York,-4.0
42J,Keystone Airpark,Keystone Heights,FL,USA,29.84475,-82.04752778,,America/New_York,-4.0
54J,Defuniak Springs,Defuniak Springs,FL,USA,30.7313,-86.15160833,,America/Chicago,-5.0
55J,Fernandina Beach Municipal,Fernandina Beach,FL,USA,30.61170083,-81.462345,,America/New_York,-4.0
AAF,Apalachicola Regional Airport,Apalachicola,FL,USA,29.72754583,-85.02744778,A,America/New_York,-4.0
APF,Naples Municipal Airport,Naples,FL,USA,26.15247222,-81.77544444,A,America/New_York,-4.0
AVO,Avon Park Executive Airport,Avon Park,FL,USA,27.591145,-81.52785333,A,America/New_York,-4.0
BCT,Boca Raton Airport,Boca Raton,FL,USA,26.37848667,-80.10769667,A,America/New_York,-4.0
BKV,Hernando County,Brooksville,FL,USA,28.47359722,-82.45542139,,America/New_York,-4.0
BOW,Bartow Municipal Airport,Bartow,FL,USA,27.9433575,-81.78344167,U,America/New_York,-4.0
CDK,George T Lewis,Cedar Key,FL,USA,29.137745,-83.04984361,,America/New_York,-4.0
CEW,Bob Sikes Airport,Crestview,FL,USA,30.77883333,-86.52211111,A,America/Chicago,-5.0
CGC,Crystal River,Crystal River,FL,USA,28.86727778,-82.57130556,,America/New_York,-4.0
CLW,Clearwater Air Park,Clearwater,FL,USA,27.97668639,-82.75874028,A,America/New_York,-4.0
COI,Merritt Island,Merritt Island,FL,USA,28.34158944,-80.6854975,,America/New_York,-4.0
