iata,name,city,state,country,lat,long,dst,tz,utc_offset
06C,Schaumburg,Chicago/Schaumburg,IL,USA,41.98934083,-88.10124278,,America/Chicago,-5.0
0C0,Dacy,Chicago/Harvard,IL,USA,42.40418556,-88.63343222,,America/Chicago,-5.0
10C,Galt,Chicago/Greenwood/Wonderlake,IL,USA,42.40266472,-88.37588917,,America/Chicago,-5.0
11IS,Schaumburg Heliport,Chicago/Schaumburg,IL,USA,42.04808278,-88.05257194,,America/Chicago,-5.0
12C,Rochelle Municipal,Rochelle,IL,USA,41.89300139,-89.07829,,America/Chicago,-5.0
1C5,Clow,Chicago/Plainfield,IL,USA,41.69597444,-88.12923056,,America/Chicago,-5.0
1H2,Effingham County Memorial,Effingham,IL,USA,39.07045083,-88.53351972,,America/Chicago,-5.0
1H8,Casey Municipal,Casey,IL,USA,39.30250917,-88.00406194,,America/Chicago,-5.0
2H0,Shelby County,Shelbyville,IL,USA,39.41042861,-88.8454325,,America/Chicago,-5.0
2I5,Chanute,Rantoul,IL,USA,40.29355556,-88.14236111,,America/Chicago,-5.0
3CK,Lake In The Hills,Lake In The Hills,IL,USA,42.20680306,-88.32304028,,America/Chicago,-5.0
3K6,St Louis-Metro East,Troy/Marine/St. Louis,IL,USA,38.73290861,-89.80656722,,America/Chicago,-5.0
3LC,Logan County,Lincoln,IL,USA,40.15847222,-89.33497222,,America/Chicago,-5.0
3LF,Litchfield Municipal,Litchfield,IL,USA,39.16635306,-89.67489694,,America/Chicago,-5.0
3MY,Mt. Hawley Auxiliary,Peoria,IL,USA,40.79525917,-89.6134025,,America/Chicago,-5.0
9I0,Havana Regional,Havana,IL,USA,40.221155,-90.02289361,,America/Chicago,-5.0
AJG,Mt Carmel Municipal,Mt Carmel,IL,USA,38.60654722,-87.72669417,,America/Chicago,-5.0
ALN,St Louis Regional Airport,Alton/St. Louis,IL,USA,38.89029083,-90.04604306,\N,America/Chicago,-5.0
ARR,D. Casimiro Szlapelis Airport,Chicago/Aurora,IL,USA,41.77192944,-88.47565917,N,America/Chicago,-5.0
BLV,Scott AFB/Midamerica Airport,Belleville/St. Louis,IL,USA,38.54517861,-89.83518444,A,America/Chicago,-5.0
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA,40.47798556,-88.91595278,A,America/Chicago,-5.0
C00,Mercer County,Aledo,IL,USA,41.248645,-90.73708361,,America/Chicago,-5.0
C09,Morris Municipal,Morris,IL,USA,41.42541667,-88.41869444,,America/Chicago,-5.0
C15,Pekin Municipal,Pekin,IL,USA,40.48820611,-89.67591083,,America/Chicago,-5.0
C18,Frankfort,Chicago/Frankfort,IL,USA,41.4775,-87.84047222,,America/Chicago,-5.0
C34,Gibson City Municipal,Gibson City,IL,USA,40.48578389,-88.2672725,,America/Chicago,-5.0
C56,Sanger,Chicago/Monee,IL,USA,41.37756167,-87.68137528,,America/Chicago,-5.0
C66,Monmouth Municipal,Monmouth,IL,USA,40.92970444,-90.63110722,,America/Chicago,-5.0
C73,Dixon Muni-Charles R Walgreen ,Dixon,IL,USA,41.83369889,-89.44621333,,America/Chicago,-5.0
C75,Marshall County,Lacon,IL,USA,41.01928583,-89.38642222,,America/Chicago,-5.0
C77,Poplar Grove ,Poplar Grove,IL,USA,42.32268639,-88.83651833,,America/Chicago,-5.0
C81,Campbell,Chicago/Round Lake Park,IL,USA,42.32461111,-88.07408806,,America/Chicago,-5.0
CGX,Chicago Meigs Airport,Chicago,IL,USA,41.85884389,-87.60791167,A,America/Chicago,-5.0
CIR,Cairo,Cairo,IL,USA,37.06447222,-89.21961111,,America/Chicago,-5.0
