iata,name,city,state,country,lat,long,dst,tz,utc_offset
0M8,Byerley,Lake Providence,LA,USA,32.82587917,-91.187665,,America/Chicago,-5.0
0R3,Abbeville Chris Crusta Memorial,Abbeville,LA,USA,29.97576083,-92.08415167,,America/Chicago,-5.0
0R4,Concordia Parish,Vidalia,LA,USA,31.56683278,-91.50011889,,America/Chicago,-5.0
0R5,David G Joyce,Winnfield,LA,USA,31.96366222,-92.66026056,,America/Chicago,-5.0
0R7,Red River,Coushatta,LA,USA,31.99071694,-93.30739306,,America/Chicago,-5.0
1L0,St. John the Baptist Parish,Reserve,LA,USA,30.08720833,-90.58266528,,America/Chicago,-5.0
1R1,Jena,Jena,LA,USA,31.671005,-92.15846722,,America/Chicago,-5.0
2F8,Morehouse Memorial,Bastrop,LA,USA,32.75607944,-91.88057194,,America/Chicago,-5.0
3F3,De Soto Parish,Mansfield,LA,USA,32.07345972,-93.76551889,,America/Chicago,-5.0
3F4,Vivian,Vivian,LA,USA,32.86133333,-94.01015361,,America/Chicago,-5.0
3R2,Le Gros Memorial,Crowley,LA,USA,30.16173611,-92.48396111,,America/Chicago,-5.0
3R4,Hart,Many,LA,USA,31.54489667,-93.48645306,,America/Chicago,-5.0
3R7,Jennings,Jennings,LA,USA,30.24269333,-92.67344778,,America/Chicago,-5.0
4R7,Eunice,Eunice,LA,USA,30.46628389,-92.42379917,,America/Chicago,-5.0
5F4,Homer Municipal,Homer,LA,USA,32.78850806,-93.00366083,,America/Chicago,-5.0
5R8,De Quincy Industrial Airpark,De Quincy,LA,USA,30.44117222,-93.47349722,,America/Chicago,-5.0
7N0,New Orleans Downtown Heliport,New Orleans,LA,USA,29.95194444,-90.08166667,,America/Chicago,-5.0
9M6,Kelly,Oak Grove,LA,USA,32.84921361,-91.40390611,,America/Chicago,-5.0
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737167,-92.54855611,A,America/Chicago,-5.0
ARA,Acadiana Regional Airport,New Iberia,LA,USA,30.03775833,-91.88389611,A,America/Chicago,-5.0
ASD,Andros Town Airport,Slidell,LA,USA,30.345055,-89.82078833,U,America/Chicago,-5.0
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA,30.53316083,-91.14963444,A,America/Chicago,-5.0
BXA,George R Carr Memorial,Bogalusa,LA,USA,30.81368639,-89.86496444,,America/Chicago,-5.0
CWF,Chennault International ,Lake Charles,LA,USA,30.21059167,-93.14318944,,America/Chicago,-5.0
DRI,Beauregard Regional Airport,De Ridder,LA,USA,30.83152778,-93.33963889,A,America/Chicago,-5.0
DTN,Shreveport Downtown Airport,Shreveport,LA,USA,32.54021889,-93.7450225,A,America/Chicago,-5.0
ESF,Esler Regional Airport,Alexandria,LA,USA,31.3949025,-92.29577194,A,America/Chicago,-5.0
