iata,name,city,state,country,lat,long,dst,tz,utc_offset
03D,Memphis Memorial,Memphis,MO,USA,40.44725889,-92.22696056,,America/Chicago,-5.0
1H0,Creve Coeur,St Louis,MO,USA,38.72752,-90.50830417,,America/Chicago,-5.0
1H3,Linn State Tech. College,Linn,MO,USA,38.47149444,-91.81531667,,America/Chicago,-5.0
1MO,Mountain Grove Memorial,Mountain Grove,MO,USA,37.12071889,-92.311245,,America/Chicago,-5.0
2H2,Aurora Memorial Municipal,Aurora,MO,USA,36.96230778,-93.69531111,,America/Chicago,-5.0
3SQ,St Charles,St Charles,MO,USA,38.84866139,-90.50011833,,America/Chicago,-5.0
56M,Warsaw Municipal,Warsaw,MO,USA,38.34688889,-93.345425,,America/Chicago,-5.0
6M6,Lewis County Regional,Monticello,MO,USA,40.12916667,-91.67833333,,America/Chicago,-5.0
94K,Cassville Municipal,Cassville,MO,USA,36.69741667,-93.90052778,,America/Chicago,-5.0
9K4,Skyhaven,Warrensburg,MO,USA,38.7842425,-93.80285417,,America/Chicago,-5.0
AIZ,Lee C Fine Memorial Airport,Kaiser/Lake Ozark,MO,USA,38.096035,-92.5494875,A,America/Chicago,-5.0
BUM,Butler Memorial,Butler,MO,USA,38.28977028,-94.34012694,,America/Chicago,-5.0
CGI,Cape Girardeau Regional Airport,Cape Girardeau,MO,USA,37.22531694,-89.57075167,A,America/Chicago,-5.0
CHT,Chatham Islands-Tuuta Airport,Chillicothe,MO,USA,39.78215278,-93.49568056,Z,America/Chicago,-5.0
COU,Columbia Regional Airport,Columbia,MO,USA,38.81809306,-92.21962917,A,America/Chicago,-5.0
DMO,Sedalia Memorial,Sedalia,MO,USA,38.70688889,-93.17611111,,America/Chicago,-5.0
DXE,Dexter Municipal,Dexter,MO,USA,36.77747,-89.94117333,,America/Chicago,-5.0
EIW,County Memorial,New Madrid,MO,USA,36.53531083,-89.59971722,,America/Chicago,-5.0
EOS,Neosho Memorial,Neosho,MO,USA,36.81080556,-94.39169444,,America/Chicago,-5.0
EVU,Maryville Memorial,Maryville,MO,USA,40.35260167,-94.91552722,,America/Chicago,-5.0
EZZ,Cameron Memorial,Cameron,MO,USA,39.72755972,-94.276375,,America/Chicago,-5.0
FAM,Farmington Regional,Farmington,MO,USA,37.76107917,-90.42859722,,America/Chicago,-5.0
FTT,Elton Hensley Memorial,Fulton,MO,USA,38.83987472,-92.00421056,,America/Chicago,-5.0
GLY,Clinton Memorial,Clinton,MO,USA,38.35657306,-93.68417694,,America/Chicago,-5.0
GPH,Clay County Regional,Mosby,MO,USA,39.33046528,-94.30997361,,America/Chicago,-5.0
H19,Bowling Green Municipal,Bowling Green,MO,USA,39.36993361,-91.21925556,,America/Chicago,-5.0
H21,Camdenton Memorial,Camdenton,MO,USA,37.97468528,-92.69161528,,America/Chicago,-5.0
H41,Memorial,Mexico,MO,USA,39.15751389,-91.81826667,,America/Chicago,-5.0
H79,Eldon Model Airpark,Eldon,MO,USA,38.36062611,-92.57157139,,America/Chicago,-5.0
H88,Municipal,Fredericktown,MO,USA,37.605825,-90.28731389,,America/Chicago,-5.0
HAE,Hannibal Municipal,Hannibal,MO,USA,39.72448944,-91.44367944,,America/Chicago,-5.0
HIG,Higginsville Industrial Municipal,Higginsville,MO,USA,39.07334639,-93.67716083,,America/Chicago,-5.0
IRK,Kirksville Regional Airport,Kirksville,MO,USA,40.09364444,-92.54496917,A,America/Chicago,-5.0
JEF,Jefferson City Memorial Airport,Jefferson City,MO,USA,38.59117917,-92.15614389,A,America/Chicago,-5.0
