iata,name,city,state,country,lat,long,dst,tz,utc_offset
00M,Thigpen ,Bay Springs,MS,USA,31.95376472,-89.23450472,,America/Chicago,-5.0
01M,Tishomingo County,Belmont,MS,USA,34.49166667,-88.20111111,,America/Chicago,-5.0
04M,Calhoun County,Pittsboro,MS,USA,33.93011222,-89.34285194,,America/Chicago,-5.0
06M,Eupora Municipal,Eupora,MS,USA,33.53456583,-89.31256917,,America/Chicago,-5.0
08M,Carthage-Leake County,Carthage,MS,USA,32.76124611,-89.53007139,,America/Chicago,-5.0
09M,Charleston Municipal,Charleston,MS,USA,33.99150222,-90.078145,,America/Chicago,-5.0
0M6,Panola County,Batesville,MS,USA,34.36677444,-89.90008917,,America/Chicago,-5.0
0R0,Columbia-Marion County,Columbia,MS,USA,31.29700806,-89.81282944,,America/Chicago,-5.0
14M,Hollandale Municipal,Hollandale,MS,USA,33.18262167,-90.83065444,,America/Chicago,-5.0
15M,Luka ,Luka,MS,USA,34.7723125,-88.16587444,,America/Chicago,-5.0
17M,Magee Municipal,Magee,MS,USA,31.86127139,-89.80285361,,America/Chicago,-5.0
19M,C A Moore,Lexington,MS,USA,33.12546111,-90.02555694,,America/Chicago,-5.0
1M2,Belzoni Municipal,Belzoni,MS,USA,33.14518056,-90.51528472,,America/Chicago,-5.0
1R7,Brookhaven-Lincoln County,Brookhaven,MS,USA,31.6058475,-90.40931583,,America/Chicago,-5.0
20M,Macon Municipal,Macon,MS,USA,33.13345889,-88.53559806,,America/Chicago,-5.0
22M,Pontotoc County,Pontotoc,MS,USA,34.27593833,-89.03839694,,America/Chicago,-5.0
23M,Clarke County,Quitman,MS,USA,32.08487111,-88.73893389,,America/Chicago,-5.0
25M,Ripley ,Ripley,MS,USA,34.72226778,-89.01504944,,America/Chicago,-5.0
2M4,G. V. Montgomery,Forest,MS,USA,32.35347778,-89.48867944,,America/Chicago,-5.0
2R0,Waynesboro Municipal,Waynesboro,MS,USA,31.64599472,-88.63475667,,America/Chicago,-5.0
33M,Water Valley ,Water Valley,MS,USA,34.16677639,-89.68619722,,America/Chicago,-5.0
4R1,I H Bass Jr Memorial,Lumberton,MS,USA,31.01546028,-89.48256556,,America/Chicago,-5.0
5A4,Okolona Mun.-Richard M. Stovall ,Okolona,MS,USA,34.01580528,-88.72618944,,America/Chicago,-5.0
5A6,Winona-Montgomery County,Winona,MS,USA,33.46540139,-89.72924806,,America/Chicago,-5.0
87I,Yazoo County,Yazoo City,MS,USA,32.883215,-90.4636475,,America/Chicago,-5.0
8M1,Booneville-Baldwyn,Booneville,MS,USA,34.58981806,-88.64699861,,America/Chicago,-5.0
