iata,name,city,state,country,lat,long,dst,tz,utc_offset
1S3,Tillitt ,Forsyth,MT,USA,46.27110639,-106.6239206,,America/Denver,-6.0
29S,Gardiner,Gardiner,MT,USA,45.04993556,-110.7466008,,America/Denver,-6.0
32S,Stevensville,Stevensville,MT,USA,46.52511111,-114.0528056,,America/Denver,-6.0
38S,Deer Lodge-City-County,Deer Lodge,MT,USA,46.38881583,-112.7669842,,America/Denver,-6.0
3U3,Bowman ,Anaconda,MT,USA,46.15313278,-112.86784,,America/Denver,-6.0
3U7,Benchmark,Benchmark,MT,USA,47.48133194,-112.8697678,,America/Denver,-6.0
3U8,Big Sandy,Big Sandy,MT,USA,48.16247972,-110.1132631,,America/Denver,-6.0
42S,Poplar,Poplar,MT,USA,48.11595861,-105.1821928,,America/Denver,-6.0
48S,Harlem,Harlem,MT,USA,48.56666472,-108.7729339,,America/Denver,-6.0
4U3,Liberty County,Chester,MT,USA,48.51072222,-110.9908639,,America/Denver,-6.0
4U6,Circle Town County,Circle,MT,USA,47.41861972,-105.5619431,,America/Denver,-6.0
5U3,Ennis - Big Sky,Ennis,MT,USA,45.27175833,-111.6486389,,America/Denver,-6.0
5U8,Geraldine,Geraldine,MT,USA,47.59664,-110.26603670000002,,America/Denver,-6.0
6S0,Big Timber,Big Timber,MT,USA,45.80638889,-109.9811111,,America/Denver,-6.0
6S3,Columbus,Columbus,MT,USA,45.6291075,-109.2507167,,America/Denver,-6.0
6S5,Ravalli County,Hamilton,MT,USA,46.25149444,-114.1255403,,America/Denver,-6.0
6S8,Laurel Municipal,Laurel,MT,USA,45.70308833,-108.7610886,,America/Denver,-6.0
79S,Fort Benton,Fort Benton,MT,USA,47.84583333,-110.6336111,,America/Denver,-6.0
7S0,Ronan,Ronan,MT,USA,47.57076861,-114.0967783,,America/Denver,-6.0
7S1,Twin Bridges,Twin Bridges,MT,USA,45.53325917,-112.3091656,,America/Denver,-6.0
7S6,White Sulphur Springs,White Sulphur Springs,MT,USA,46.50410722,-110.9132667,,America/Denver,-6.0
7S7,Valier,Valier,MT,USA,48.29997583,-112.25087109999998,,America/Denver,-6.0
88M,Eureka,Eureka,MT,USA,48.96885444,-115.0704464,,America/Denver,-6.0
8S1,Polson,Polson,MT,USA,47.69543861,-114.1851178,,America/Denver,-6.0
8U6,Terry,Terry,MT,USA,46.77917333,-105.3047083,,America/Denver,-6.0
8U8,Townsend,Townsend,MT,USA,46.33111111,-111.4813889,,America/Denver,-6.0
97M,Ekalaka,Ekalaka,MT,USA,45.87791444,-104.5375072,,America/Denver,-6.0
9S2,Scobey,Scobey,MT,USA,48.80772722,-105.43947,,America/Denver,-6.0
9S4,Mineral County,Superior,MT,USA,47.16825944,-114.85374109999998,,America/Denver,-6.0
9S5,Three Forks,Three Forks,MT,USA,45.87852778,-111.5691389,,America/Denver,-6.0
9S7,Winifred,Winifred,MT,USA,47.55164778,-109.37767920000002,,America/Denver,-6.0
9U0,Turner,Turner,MT,USA,48.85417361,-108.4090214,,America/Denver,-6.0
BDX,Broadus,Broadus,MT,USA,45.433325,-105.4172133,,America/Denver,-6.0
BHK,Bukhara Airport,Baker City,MT,USA,46.34763639,-104.2594475,U,America/Denver,-6.0
BIL,Billings Logan International Airport,Billings,MT,USA,45.8076625,-108.5428611,A,America/Denver,-6.0
BTM,Bert Mooney Airport,Butte,MT,USA,45.95479528,-112.49746,A,America/Denver,-6.0
BZN,Gallatin Field,Bozeman,MT,USA,45.77690139,-111.1530072,A,America/Denver,-6.0
CII,Choteau,Choteau,MT,USA,47.82528056,-112.1662136,,America/Denver,-6.0
CTB,Cut Bank International Airport,Cut Bank,MT,USA,48.60835444,-112.3761464,A,America/Denver,-6.0
