iata,name,city,state,country,lat,long,dst,tz,utc_offset
07K,Central City Municipal,Central City,NE,USA,41.11668056,-98.05033639,,America/Chicago,-5.0
08K,Harvard State,Harvard,NE,USA,40.65138528,-98.07978667,,America/Chicago,-5.0
09K,Sargent Municipal,Sargent,NE,USA,41.63695083,-99.34038139,,America/Chicago,-5.0
0B4,Hartington Municipal,Hartington,NE,USA,42.60355556,-97.25263889,,America/Chicago,-5.0
0C4,Pender Municipal,Pender,NE,USA,42.11388722,-96.72892556,,America/Chicago,-5.0
0F4,Loup City Municipal,Loup City,NE,USA,41.29028694,-98.99064278,,America/Chicago,-5.0
0G3,Tecumseh Municipal,Tecumseh,NE,USA,40.39944417,-96.17139694,,America/Chicago,-5.0
0V3,Pioneer Village ,Minden,NE,USA,40.5149125,-98.94565083,,America/Chicago,-5.0
12K,Superior Municipal,Superior,NE,USA,40.04636111,-98.06011111,,America/Chicago,-5.0
1V2,Grant County ,Hyannis,NE,USA,42.00942944,-101.7693439,,America/Denver,-6.0
47V,Curtis Municipal,Curtis,NE,USA,40.63750778,-100.4712539,,America/Chicago,-5.0
4D9,Alma Municipal,Alma,NE,USA,40.11389972,-99.34565306,,America/Chicago,-5.0
4V9,Antelope County,Neligh,NE,USA,42.11222889,-98.0386775,,America/Chicago,-5.0
50K,Pawnee City Municipal,Pawnee City,NE,USA,40.11611111,-96.19445278,,America/Chicago,-5.0
6K3,Creighton Municipal,Creighton,NE,USA,42.47083694,-97.88367778,,America/Chicago,-5.0
6N8,Thomas County ,Thedford,NE,USA,41.96217028,-100.5690139,,America/Chicago,-5.0
7K8,Martin ,South Sioux City,NE,USA,42.45416111,-96.47253111,,America/Chicago,-5.0
7V7,Red Cloud Municipal,Red Cloud,NE,USA,40.08473556,-98.54061694,,America/Chicago,-5.0
8V2,Stuart-Atkinson Municipal,Atkinson,NE,USA,42.56250167,-99.03787611,,America/Chicago,-5.0
93Y,David City Municipal,David City,NE,USA,41.23334583,-97.11698111,,America/Chicago,-5.0
99Y,Greeley Municipal,Greeley,NE,USA,41.55834528,-98.54618528,,America/Chicago,-5.0
9V5,Modisett ,Rushville,NE,USA,42.73748639,-102.4448947,,America/Denver,-6.0
AFK,Nebraska City Municipal,Nebraska City,NE,USA,40.60688889,-95.86569444,,America/Chicago,-5.0
AHQ,Wahoo Municipal,Wahoo,NE,USA,41.24133333,-96.59402778,,America/Chicago,-5.0
AIA,Alliance Municipal Airport,Alliance,NE,USA,42.05325,-102.8037222,A,America/Denver,-6.0
ANW,Ainsworth Municipal,Ainsworth,NE,USA,42.57922222,-99.99297222,,America/Chicago,-5.0
AUH,Abu Dhabi International Airport,Aurora,NE,USA,40.89413889,-97.99455556,U,America/Chicago,-5.0
BBW,Broken Bow Municipal,Broken Bow,NE,USA,41.43645056,-99.64216861,,America/Chicago,-5.0
BFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,NE,USA,41.87402778,-103.5956389,A,America/Denver,-6.0
BIE,Beatrice Municipal,Beatrice,NE,USA,40.30127778,-96.75411111,,America/Chicago,-5.0
BUB,Cram ,Burwell,NE,USA,41.77669444,-99.14975,,America/Chicago,-5.0
BVN,Albion Municipal,Albion,NE,USA,41.72857778,-98.05575972,,America/Chicago,-5.0
CDR,Chadron Municipal Airport,Chadron,NE,USA,42.83755556,-103.0954167,A,America/Denver,-6.0
CEK,Chelyabinsk Balandino Airport,Crete,NE,USA,40.61791667,-96.92488889,N,America/Chicago,-5.0
CNP,Neerlerit Inaat Airport,Chappell,NE,USA,41.07747222,-102.4640556,E,America/Denver,-6.0
CSB,Caransebeş Airport,Cambridge,NE,USA,40.30658333,-100.1620833,E,America/Chicago,-5.0
CZD,Cozad Municipal,Cozad,NE,USA,40.86911111,-100.0042222,,America/Chicago,-5.0
EAR,Kearney Municipal,Kearney,NE,USA,40.72702778,-99.00677778,,America/Chicago,-5.0
FBY,Fairbury Municipal,Fairbury,NE,USA,40.18297222,-97.16927778,,America/Chicago,-5.0
FET,Fremont Municipal Airport,Fremont,NE,USA,41.44913889,-96.52019444,A,America/Chicago,-5.0
FMZ,Fairmont State,Fairmont,NE,USA,40.58569444,-97.57305556,,America/Chicago,-5.0
FNB,Neubrandenburg Airport,Falls City,NE,USA,40.07878611,-95.59199167,\N,America/Chicago,-5.0
GGF,Grant Municipal,Grant,NE,USA,40.86952778,-101.7328611,,America/Denver,-6.0
GRI,Central Nebraska Regional Airport,Grand Island,NE,USA,40.96747222,-98.30861111,A,America/Chicago,-5.0
GRN,Gordon Municipal,Gordon,NE,USA,42.80597222,-102.17525,,America/Denver,-6.0
HDE,Brewster Field,Holdredge,NE,USA,40.45269444,-99.33733333,A,America/Chicago,-5.0
HJH,Hebron Municipal,Hebron,NE,USA,40.15225,-97.58697222,,America/Chicago,-5.0
HSI,Hastings Municipal,Hastings,NE,USA,40.60525,-98.42788889,,America/Chicago,-5.0
