iata,name,city,state,country,lat,long,dst,tz,utc_offset
02G,Columbiana County,East Liverpool,OH,USA,40.67331278,-80.64140639,,America/New_York,-4.0
0G6,Williams County,Bryan,OH,USA,41.46736111,-84.50655556,,America/New_York,-4.0
10G,Holmes County,Millersburg,OH,USA,40.53716667,-81.95436111,,America/New_York,-4.0
16G,Seneca County,Tiffin,OH,USA,41.09405556,-83.2125,,America/New_York,-4.0
17G,Port Bucyrus-Crawford County,Bucyrus,OH,USA,40.78141667,-82.97469444,,America/New_York,-4.0
1G0,Wood County,Bowling Green,OH,USA,41.391000000000005,-83.63013889,,America/New_York,-4.0
1G3,Kent State University,Kent,OH,USA,41.15186167,-81.41658306,,America/New_York,-4.0
1G5,Freedom ,Medina,OH,USA,41.13144444,-81.76491667,,America/New_York,-4.0
22I,Vinton County,McArthur,OH,USA,39.328125,-82.44182167,,America/New_York,-4.0
29G,Portage County,Ravenna,OH,USA,41.210195,-81.25163083,,America/New_York,-4.0
2D1,Barber,Alliance,OH,USA,40.97089139,-81.09981889,,America/New_York,-4.0
2G2,Jefferson County Airpark,Steubenville,OH,USA,40.35944306,-80.70007806,,America/New_York,-4.0
3G3,Wadsworth Municipal,Wadsworth,OH,USA,41.00158222,-81.75513111,,America/New_York,-4.0
3G4,Ashland County,Ashland,OH,USA,40.90297222,-82.25563889,,America/New_York,-4.0
3I7,Phillipsburg,Phillipsburg,OH,USA,39.91344194,-84.40030889,,America/New_York,-4.0
45OH,North Bass Island,North Bass Island,OH,USA,41.71932528,-82.82196917,,America/New_York,-4.0
4G5,Monroe County,Woodsfield,OH,USA,39.77904472,-81.10277222,,America/New_York,-4.0
4I3,Knox County,Mount Vernon,OH,USA,40.32872222,-82.52377778,,America/New_York,-4.0
4I9,Morrow County,Mt. Gilead,OH,USA,40.52452778,-82.85005556,,America/New_York,-4.0
56D,Wyandot County,Upper Sandusky,OH,USA,40.88336139,-83.3145325,,America/New_York,-4.0
5G7,Bluffton,Bluffton,OH,USA,40.88544444,-83.86863889,,America/New_York,-4.0
62D,Warren,Warren,OH,USA,41.26672278,-80.92897778,,America/New_York,-4.0
6G5,Barnesville - Bradfield,Barnesville,OH,USA,40.00243139,-81.19183000000001,,America/New_York,-4.0
7G8,Geauga County,Middlefield,OH,USA,41.44960972,-81.06292972,,America/New_York,-4.0
7I7,Bellefontaine Municipal,Bellefontaine,OH,USA,40.41208333,-83.73686111,,America/New_York,-4.0
89D,Kelleys Island Land ,Kelleys Island,OH,USA,41.60282583,-82.684625,,America/New_York,-4.0
8G6,Harrison County,Cadiz,OH,USA,40.23820667,-81.01256917,,America/New_York,-4.0
AKR,Akure Airport,Akron,OH,USA,41.0375,-81.46693944,N,America/New_York,-4.0
AMT,Amata Airport,West Union,OH,USA,38.85148778,-83.56627778,O,America/New_York,-4.0
AOH,Lima Allen County Airport,Lima,OH,USA,40.70694444,-84.02666667,A,America/New_York,-4.0
AXV,Neil Armstrong,Wapakoneta,OH,USA,40.49338889,-84.29894444,,America/New_York,-4.0
BJJ,Wayne County,Wooster,OH,USA,40.87480556,-81.88825,,America/New_York,-4.0
BKL,Burke Lakefront Airport,Cleveland,OH,USA,41.5175,-81.68333333,A,America/New_York,-4.0
CAK,Akron Canton Regional Airport,Akron,OH,USA,40.91631194,-81.44246556,A,America/New_York,-4.0
CDI,Cambridge Municipal,Cambridge,OH,USA,39.97504417,-81.57759528,,America/New_York,-4.0
CGF,Cuyahoga County Airport,Cleveland,OH,USA,41.56512389,-81.48635389,A,America/New_York,-4.0
CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41089417,-81.84939667,A,America/New_York,-4.0
CMH,John Glenn Columbus International Airport,Columbus,OH,USA,39.99798528,-82.89188278,A,America/New_York,-4.0
CQA,Canarana Airport,Celina,OH,USA,40.48408333,-84.56011111,S,America/New_York,-4.0
CYO,Vilo Acuña International Airport,Circleville,OH,USA,39.51600611,-82.98215361,U,America/New_York,-4.0
DAY,James M Cox Dayton International Airport,Dayton,OH,USA,39.90237583,-84.219375,A,America/New_York,-4.0
DFI,Defiance Memorial,Defiance,OH,USA,41.3375,-84.42880556,,America/New_York,-4.0
DLZ,Dalanzadgad Airport,Delaware,OH,USA,40.27970139,-83.11480167,U,America/New_York,-4.0
FDY,Findlay Airport,Findlay,OH,USA,41.01352778,-83.66869444,U,America/New_York,-4.0
