iata,name,city,state,country,lat,long,dst,tz,utc_offset
0F7,Fountainhead Lodge Airpark,Eufaula,OK,USA,35.38898833,-95.60165111,,America/Chicago,-5.0
0F8,William R Pogue Municipal,Sand Springs,OK,USA,36.17528,-96.15181028,,America/Chicago,-5.0
0F9,Tishomingo Airpark,Tishomingo,OK,USA,34.19592833,-96.67555694,,America/Chicago,-5.0
17K,Boise City,Boise City,OK,USA,36.77430028,-102.5104364,,America/Chicago,-5.0
1F0,Downtown Ardmore,Ardmore,OK,USA,34.14698917,-97.12265194,,America/Chicago,-5.0
1F1,Lake Murray State Park,Overbrook,OK,USA,34.07509694,-97.10667917,,America/Chicago,-5.0
1F4,Madill Municipal,Madill,OK,USA,34.14040194,-96.81203222,,America/Chicago,-5.0
1K2,Lindsay Municipal,Lindsay,OK,USA,34.85007333,-97.58642028,,America/Chicago,-5.0
1K4,David J. Perry,Goldsby,OK,USA,35.1550675,-97.47039389,,America/Chicago,-5.0
1K5,Waynoka Municipal,Waynoka,OK,USA,36.56670028,-98.85231333,,America/Chicago,-5.0
1O1,Grandfield Municipal,Grandfield,OK,USA,34.23758944,-98.74200917,,America/Chicago,-5.0
1O4,Thomas Municipal,Thomas,OK,USA,35.73338222,-98.73063833,,America/Chicago,-5.0
2F6,Skiatook Municipal,Skiatook,OK,USA,36.357035,-96.01138556,,America/Chicago,-5.0
2K4,Scott ,Mangum,OK,USA,34.89172583,-99.52675667,,America/Chicago,-5.0
2M3,Sallisaw Municipal,Sallisaw,OK,USA,35.43816667,-94.80277778,,America/Chicago,-5.0
2O8,Hinton Municipal,Hinton,OK,USA,35.50592472,-98.34236111,,America/Chicago,-5.0
3F7,Jones Memorial,Bristow,OK,USA,35.80685278,-96.42185556,,America/Chicago,-5.0
3O3,Municipal,Purcell,OK,USA,34.97979444,-97.38586167,,America/Chicago,-5.0
3O4,Sayre Municipal,Sayre,OK,USA,35.16755222,-99.65787361,,America/Chicago,-5.0
3O5,Walters Municipal,Walters,OK,USA,34.37258444,-98.40588583,,America/Chicago,-5.0
3O9,Grand Lake Regional,Afton,OK,USA,36.5775775,-94.86190028,,America/Chicago,-5.0
4O3,Blackwell-Tonkawa Municipal,Blackwell-Tonkawa,OK,USA,36.74511583,-97.34959972,,America/Chicago,-5.0
4O4,McCurtain County Regional,Idabel,OK,USA,33.909325,-94.85835278,,America/Chicago,-5.0
4O5,Cherokee Municipal,Cherokee,OK,USA,36.78336306,-98.35035083,,America/Chicago,-5.0
6F1,Talihina Municipal,Talihina,OK,USA,34.70777139,-95.07378583,,America/Chicago,-5.0
6K4,Fairview Municipal,Fairview,OK,USA,36.29014667,-98.47582833,,America/Chicago,-5.0
80F,Antlers Municipal,Antlers,OK,USA,34.19260083,-95.64985889,,America/Chicago,-5.0
86F,Carnegie Municipal,Carnegie,OK,USA,35.12061417,-98.5806175,,America/Chicago,-5.0
91F,Arrowhead,Canadian,OK,USA,35.15426444,-95.62026389,,America/Chicago,-5.0
93F,Mignon Laird Municipal,Cheyenne,OK,USA,35.60393694,-99.70343889,,America/Chicago,-5.0
95F,Cleveland Municipal,Cleveland,OK,USA,36.28340306,-96.46418833,,America/Chicago,-5.0
ADH,Aldan Airport,Ada,OK,USA,34.80434056,-96.6712775,N,America/Chicago,-5.0
ADM,Ardmore Municipal Airport,Ardmore,OK,USA,34.30320667,-97.01952167,A,America/Chicago,-5.0
AVK,Arvaikheer Airport,Alva,OK,USA,36.77317,-98.66994611,U,America/Chicago,-5.0
AXS,Altus Municipal,Altus,OK,USA,34.69878194,-99.3381,,America/Chicago,-5.0
BFK,Buckley Air Force Base,Buffalo,OK,USA,36.86330139,-99.61873056,A,America/Chicago,-5.0
BVO,Bartlesville Municipal,Bartlesville,OK,USA,36.76247611,-96.01115167,,America/Chicago,-5.0
CHK,Chickasha Municipal,Chickasha,OK,USA,35.09614694,-97.96618361,,America/Chicago,-5.0
CLK,Clinton Municipal,Clinton,OK,USA,35.53832778,-98.932695,,America/Chicago,-5.0
CQB,Chandler Municipal,Chandler,OK,USA,35.72381556,-96.82027306,,America/Chicago,-5.0
CSM,Clinton Sherman Airport,Clinton,OK,USA,35.33983917,-99.20049944,A,America/Chicago,-5.0
CUH,Cushing Municipal Airport,Cushing,OK,USA,35.949925,-96.77305278,A,America/Chicago,-5.0
DUA,Eaker ,Durant,OK,USA,33.942265,-96.39451806,,America/Chicago,-5.0
DUC,Halliburton Field,Duncan,OK,USA,34.470875,-97.95986111,A,America/Chicago,-5.0
ELK,Elk City Municipal,Elk City,OK,USA,35.42941083,-99.39425917,,America/Chicago,-5.0
F08,Eufaula Municipal,Eufaula,OK,USA,35.29593194,-95.62526417,,America/Chicago,-5.0
F10,Henryetta Municipal,Henryetta,OK,USA,35.40687972,-96.01583278,,America/Chicago,-5.0
