iata,name,city,state,country,lat,long,dst,tz,utc_offset
0A3,Smithville Municipal,Smithville,TN,USA,35.98531194,-85.80931806,,America/Chicago,-5.0
0A9,Elizabethton Municipal,Elizabethton,TN,USA,36.37094306,-82.17374111,,America/New_York,-4.0
0M1,Scott ,Parsons,TN,USA,35.63778,-88.127995,,America/Chicago,-5.0
0M4,Benton County,Camden,TN,USA,36.01122694,-88.12328833,,America/Chicago,-5.0
0M5,Humphreys County,Waverly,TN,USA,36.11659972,-87.73815889,,America/Chicago,-5.0
1A3,Martin Campbell ,Copperhill,TN,USA,35.01619111,-84.34631083,,America/New_York,-4.0
1A7,Jackson County,Gainesboro,TN,USA,36.39728139,-85.64164278,,America/Chicago,-5.0
1M5,Portland Municipal,Portland,TN,USA,36.59287528,-86.47691028,,America/Chicago,-5.0
2A0,Mark Anton,Dayton,TN,USA,35.48624611,-84.93109722,,America/New_York,-4.0
2A1,Jamestown Municipal,Jamestown,TN,USA,36.34970833,-84.94664472,,America/Chicago,-5.0
2M2,Lawrenceburg Municipal,Lawrenceburg,TN,USA,35.234302500000005,-87.25793222,,America/Chicago,-5.0
2M8,Charles W. Baker,Millington,TN,USA,35.27897583,-89.93147611,,America/Chicago,-5.0
3A2,New Tazewell Municipal,Tazewell,TN,USA,36.41008417,-83.55546167,,America/New_York,-4.0
3M7,Lafayette Municipal,Lafayette,TN,USA,36.518375,-86.05828083,,America/Chicago,-5.0
6A4,Johnson County,Mountain City,TN,USA,36.41789833,-81.82511528,,America/New_York,-4.0
8A3,Livingston Municipal,Livingston,TN,USA,36.41217389,-85.31154861,,America/Chicago,-5.0
APT,Marion County Brown Field,Jasper,TN,USA,35.06067778,-85.58531667,A,America/Chicago,-5.0
BGF,Bangui M'Poko International Airport,Winchester,TN,USA,35.17753417,-86.06616722,N,America/Chicago,-5.0
BNA,Nashville International Airport,Nashville,TN,USA,36.12447667,-86.67818222,A,America/Chicago,-5.0
CHA,Lovell Field,Chattanooga,TN,USA,35.03526833,-85.20378778,A,America/New_York,-4.0
CKV,Clarksville–Montgomery County Regional Airport,Clarksville,TN,USA,36.62188083,-87.41495361,A,America/Chicago,-5.0
