iata,name,city,state,country,lat,long,dst,tz,utc_offset
00R,Livingston Municipal,Livingston,TX,USA,30.68586111,-95.01792778,,America/Chicago,-5.0
05F,Gatesville - City/County,Gatesville,TX,USA,31.42127556,-97.79696778,,America/Chicago,-5.0
07F,Gladewater Municipal,Gladewater,TX,USA,32.52883861,-94.97174556,,America/Chicago,-5.0
0F2,Bowie Municipal,Bowie,TX,USA,33.60166667,-97.77556,,America/Chicago,-5.0
11R,Brenham Municipal,Brenham,TX,USA,30.219,-96.37427778,,America/Chicago,-5.0
15F,Haskell Municipal,Haskell,TX,USA,33.19155556,-99.71793056,,America/Chicago,-5.0
1F9,Bridgeport Municipal,Bridgeport,TX,USA,33.17533333,-97.82838889,,America/Chicago,-5.0
21F,Jacksboro Municipal,Jacksboro,TX,USA,33.228725,-98.14671083,,America/Chicago,-5.0
23R,Devine Municipal,Devine,TX,USA,29.1384075,-98.94189028,,America/Chicago,-5.0
25R,International,Edinburg,TX,USA,26.44201083,-98.12945306,,America/Chicago,-5.0
26R,Jackson County,Edna/Ganado,TX,USA,29.00101,-96.58194667,,America/Chicago,-5.0
2F5,Lamesa Municipal,Lamesa,TX,USA,32.75627778,-101.9194722,,America/Chicago,-5.0
2F7,Commerce Municipal,Commerce,TX,USA,33.29288889,-95.89641806,,America/Chicago,-5.0
2R9,Karnes County,Kenedy,TX,USA,28.8250075,-97.86558333,,America/Chicago,-5.0
2T1,Muleshoe Municipal,Muleshoe,TX,USA,34.18513639,-102.6410981,,America/Chicago,-5.0
31F,Gaines County,Seminole,TX,USA,32.67535389,-102.652685,,America/Chicago,-5.0
3R0,Beeville Municipal,Beeville,TX,USA,28.36455528,-97.79208194,,America/Chicago,-5.0
3R1,Bay City Municipal,Bay City,TX,USA,28.973255,-95.86345528,,America/Chicago,-5.0
3T5,Fayette Regional Air Center,La Grange,TX,USA,29.90930556,-96.9505,,America/Chicago,-5.0
45R,Kountz - Hawthorne ,Kountze/Silsbee,TX,USA,30.33633806,-94.25754361,,America/Chicago,-5.0
49T,Downtown Heliport,Dallas,TX,USA,32.77333333,-96.80027778,,America/Chicago,-5.0
4F2,Panola County-Sharpe ,Carthage,TX,USA,32.17608333,-94.29880556,,America/Chicago,-5.0
4F4,Gilmer-Upshur County,Gilmer,TX,USA,32.699,-94.94886111,,America/Chicago,-5.0
4T6,Mid-Way,Midlothian-Waxahachie,TX,USA,32.45609722,-96.91240972,,America/Chicago,-5.0
50R,Lockhart Municipal,Lockhart,TX,USA,29.85033333,-97.67241667,,America/Chicago,-5.0
5F1,Post-Garza County Municipal,Post,TX,USA,33.20370556,-101.340415,,America/Chicago,-5.0
5R3,Rusty Allen ,Lago Vista,TX,USA,30.498585,-97.96947222,,America/Chicago,-5.0
5R5,Wharton Municipal,Wharton,TX,USA,29.25427778,-96.15438889,,America/Chicago,-5.0
5T5,Hillsboro Municipal,Hillsboro,TX,USA,32.08348611,-97.09722722,,America/Chicago,-5.0
5T9,Maverick County Meml Intl,Eagle Pass,TX,USA,28.85719361,-100.5122997,,America/Chicago,-5.0
60F,Seymour Municipal,Seymour,TX,USA,33.64870417,-99.26063056,,America/Chicago,-5.0
62H,Giddings-Lee County,Giddings,TX,USA,30.16927167,-96.98001083,,America/Chicago,-5.0
